id,precinct_name
101,ARLINGTON
102,ASHTON HEIGHTS
103,AURORA HILLS
104,BALLSTON
105,BARCROFT
106,CRYSTAL CITY
107,CHERRYDALE
108,HUME
109,COLUMBIA
110,WILSON
111,EAST FALLS CHURCH
112,FAIRLINGTON
113,GLEN CARYLN
114,CLARENDON
115,LYON PARK
116,LYON VILLAGE
117,OVERLEE KNOLLS
118,PARK LANE
119,ROSSLYN
120,THRIFTON
121,VIRGINIA HIGHLANDS
122,ABINGDON
123,WESTOVER
124,WOODLAWN
125,ARLINGTON FOREST
126,FILLMORE
127,JEFFERSON
128,WAKEFIELD
129,DOMINION HILLS
130,GLEBE
131,LEXINGTON
132,OAKRIDGE
133,ROCK SPRING
134,YORKTOWN
135,MADISON
136,MARSHALL
137,NOTTINGHAM
138,ARLINGTON VIEW
139,ASHLAWN
140,VIRGINIA SQUARE
141,NAVY LEAGUE
142,SHIRLINGTON
143,CAMPBELL
144,DAWSON TERRACE
145,BUCKINGHAM
146,CENTRAL
147,FOUR MILE RUN
148,AUSA
149,MONROE
150,CRYSTAL PLAZA
151,TAYLOR
152,GUNSTON
153,MET PARK
154,GARFIELD PARK
0,ARLINGTON COUNTY PROVISIONALS
